date,total_value,transaction_count,country_count,invoices_count,times_viewed
2018-07-17,4311.51,1183,4,1183,7135.0
2018-07-18,5829.62,1282,6,1282,7305.0
2018-07-19,7401.69,1618,5,1618,7616.0
2018-07-20,3531.5099999999998,1056,4,1056,6382.0
2018-07-22,4091.48,1277,7,1277,7220.0
2018-07-23,7229.92,1539,5,1539,8852.0
2018-07-24,3685.8,1046,6,1046,6574.0
2018-07-25,4231.18,1344,4,1344,8546.0
2018-07-26,15094.71,1905,5,1905,8700.0
2018-07-27,3234.7,763,6,763,4630.0
2018-07-29,2734.49,886,1,886,4113.0
2018-07-30,6506.47,1203,3,1203,7096.0
2018-07-31,8217.92,1542,5,1542,7350.0
2018-08-01,6210.34,1405,4,1405,7879.0
2018-08-02,3759.74,1366,4,1366,7982.0
2018-08-03,1965.35,581,3,581,4434.0
2018-08-05,2565.32,910,2,910,4662.0
2018-08-06,2723.68,931,6,931,6518.0
2018-08-07,7888.82,1779,3,1779,7400.0
2018-08-08,9440.53,1030,5,1030,4873.0
2018-08-09,8283.8,1861,4,1861,9887.0
2018-08-10,6050.4,1526,5,1526,8274.0
2018-08-12,3345.88,1088,4,1088,6540.0
2018-08-13,4089.5499999999997,1048,3,1048,6215.0
2018-08-14,3225.51,983,5,983,6945.0
2018-08-15,5349.29,1629,3,1629,8994.0
2018-08-16,5694.87,1536,7,1536,8869.0
2018-08-17,4733.06,1297,9,1297,7976.0
2018-08-19,4035.42,1382,5,1382,8686.0
2018-08-20,3577.17,1187,5,1187,7937.0
2018-08-21,3730.96,1166,4,1166,7957.0
2018-08-22,6431.42,1652,4,1652,10045.0
2018-08-23,7405.08,1682,7,1682,9897.0
2018-08-24,26783.25,1041,2,1041,5193.0
2018-08-26,2302.29,812,1,812,5043.0
2018-08-28,10727.48,1783,9,1783,8786.0
2018-08-29,4254.25,1056,9,1056,5334.0
2018-08-30,7891.42,1647,8,1647,10002.0
2018-08-31,4140.12,1070,6,1070,5984.0
2018-09-02,2299.51,814,5,814,4626.0
2018-09-03,6506.75,1591,10,1591,7881.0
2018-09-04,3955.71,1145,6,1145,6775.0
2018-09-05,3894.24,1102,7,1102,6656.0
2018-09-06,7377.54,1656,7,1656,9634.0
2018-09-07,3854.04,1028,4,1028,5925.0
2018-09-09,3877.1,1326,3,1326,6447.0
2018-09-10,7963.96,2001,5,2001,9731.0
2018-09-11,4187.84,1294,7,1294,7604.0
2018-09-12,4376.07,1420,9,1420,9434.0
2018-09-13,31232.641,1695,8,1695,9837.0
2018-09-14,4675.4,1162,6,1162,6867.0
2018-09-16,5047.82,1980,2,1980,9155.0
2018-09-17,9563.25,1841,7,1841,10816.0
2018-09-18,7600.64,2476,6,2476,16965.0
2018-09-19,5626.12,1492,6,1492,8993.0
2018-09-20,5875.57,2010,4,2010,13417.0
2018-09-21,9696.49,1574,5,1574,9850.0
2018-09-23,4287.5,1475,3,1475,8448.0
2018-09-24,39705.11,2317,6,2317,15362.0
2018-09-25,10607.97,2854,7,2854,16527.0
2018-09-26,7832.08,1915,6,1915,12898.0
2018-09-27,17434.079999999998,2150,9,2150,14843.0
2018-09-28,7647.0,1764,9,1764,9797.0
2018-09-30,7376.55,2297,5,2297,13041.0
2018-10-01,7418.0,2118,7,2118,13659.0
2018-10-02,67819.4,2772,7,2772,18305.0
2018-10-03,4364.98,1302,4,1302,9973.0
2018-10-04,14566.07,3655,6,3655,18568.0
2018-10-05,7518.51,2034,8,2034,11986.0
2018-10-07,5314.59,1724,5,1724,8924.0
2018-10-08,7716.0,2511,7,2511,14388.0
2018-10-09,8394.68,2483,5,2483,15164.0
2018-10-10,15595.72,2201,9,2201,13373.0
2018-10-11,7222.56,2078,8,2078,14524.0
2018-10-12,28981.03,2316,8,2316,13350.0
2018-10-14,7633.47,2745,2,2745,12913.0
2018-10-15,11625.59,2850,7,2850,12793.0
2018-10-16,8918.39,2298,6,2298,12309.0
2018-10-17,-29374.970000000005,2491,7,2491,13319.0
2018-10-18,8692.37,2183,8,2183,12243.0
2018-10-19,11389.84,2266,10,2266,11033.0
2018-10-21,7007.84,2393,3,2393,11303.0
2018-10-22,6069.95,1940,7,1940,9980.0
2018-10-23,8178.97,2548,10,2548,14995.0
2018-10-24,6331.07,1838,6,1838,10362.0
2018-10-25,15121.56,1650,6,1650,8347.0
2018-10-26,6943.36,1951,6,1951,11875.0
2018-10-28,7500.81,2690,3,2690,12139.0
2018-10-29,12516.25,2238,6,2238,9740.0
2018-10-30,8465.98,2368,12,2368,12978.0
2018-10-31,7428.76,2109,8,2109,11284.0
2018-11-01,13655.83,3748,7,3748,19350.0
2018-11-02,7725.26,2010,11,2010,11359.0
2018-11-04,7681.84,2825,4,2825,13921.0
2018-11-05,23464.651,2638,7,2638,13649.0
2018-11-06,12092.14,2917,6,2917,16667.0
2018-11-07,12876.59,3640,9,3640,17104.0
2018-11-08,12538.21,3303,7,3303,16838.0
2018-11-09,12653.73,3065,9,3065,13766.0
2018-11-11,8442.9,2913,4,2913,11271.0
2018-11-12,14324.61,3772,5,3772,16584.0
2018-11-13,12268.28,3361,9,3361,19160.0
2018-11-14,10901.541,2864,6,2864,14787.0
2018-11-15,10845.24,2909,7,2909,14069.0
2018-11-16,9973.5,2599,11,2599,13578.0
2018-11-18,8909.71,3258,6,3258,14244.0
2018-11-19,12726.67,3273,7,3273,13769.0
2018-11-20,13975.7,3651,9,3651,18304.0
2018-11-21,14168.15,3446,4,3446,15154.0
2018-11-22,11789.71,3522,3,3522,18905.0
2018-11-23,10312.59,2610,10,2610,13210.0
2018-11-25,7830.08,2609,2,2609,10132.0
2018-11-26,16431.74,3951,10,3951,18232.0
2018-11-27,7914.2,2416,6,2416,15141.0
2018-11-28,25808.5,6216,7,6216,27791.0
2018-11-29,13631.36,4218,3,4218,26320.0
2018-11-30,22228.18,4404,10,4404,19040.0
2018-12-02,15786.34,5450,5,5450,22365.0
2018-12-03,35357.56,7756,5,7756,29374.0
2018-12-04,170304.18,5926,4,5926,23401.0
2018-12-05,19956.12,5294,7,5294,27627.0
2018-12-06,29325.26,5782,9,5782,25150.0
2018-12-07,12825.06,2758,5,2758,11716.0
2018-12-09,3966.23,1451,2,1451,5595.0
2018-12-10,12388.27,2283,3,2283,10737.0
2018-12-11,8257.36,2087,5,2087,11359.0
2018-12-12,4819.31,1349,5,1349,8513.0
2018-12-13,5954.72,1790,5,1790,12556.0
2018-12-14,18131.21,3115,10,3115,10249.0
2018-12-16,1640.19,522,3,522,2542.0
2018-12-17,8081.79,1763,7,1763,7275.0
2018-12-18,12393.34,1586,6,1586,5292.0
2018-12-19,1962.44,291,3,291,1835.0
2018-12-20,3902.18,963,3,963,4193.0
2019-01-01,4326.0199999999995,1184,2,1184,5614.0
2019-01-02,39220.59,1743,8,1743,8458.0
2019-01-03,7950.66,1832,7,1832,10229.0
2019-01-04,5871.85,1794,4,1794,10141.0
2019-01-06,3544.55,1117,4,1117,5896.0
2019-01-07,7827.63,1976,7,1976,9057.0
2019-01-08,5225.15,1454,5,1454,7923.0
2019-01-09,7600.88,1809,5,1809,7752.0
2019-01-10,5666.0199999999995,1445,3,1445,6858.0
2019-01-11,6553.24,1510,6,1510,8199.0
2019-01-13,1854.5,646,1,646,2583.0
2019-01-14,9782.3,2557,5,2557,10421.0
2019-01-15,6445.36,1447,5,1447,5174.0
2019-01-16,4739.15,1416,8,1416,7423.0
2019-01-17,8156.26,1502,7,1502,6837.0
2019-01-18,6757.13,1594,6,1594,7695.0
2019-01-20,2611.96,879,2,879,3605.0
2019-01-21,6682.3099999999995,1485,7,1485,7441.0
2019-01-22,6644.02,1654,6,1654,9179.0
2019-01-23,5233.19,1289,6,1289,6800.0
2019-01-24,7552.5,1575,8,1575,8887.0
2019-01-25,3995.68,1008,6,1008,5707.0
2019-01-27,2321.72,722,1,722,2934.0
2019-01-28,6190.13,1509,5,1509,7333.0
2019-01-29,5561.46,1574,8,1574,8362.0
2019-01-30,5978.85,1411,6,1411,6722.0
2019-01-31,3817.55,989,6,989,5602.0
2019-02-01,6316.53,1232,7,1232,6123.0
2019-02-03,799.45,279,1,279,1209.0
2019-02-04,5356.04,1261,4,1261,5785.0
2019-02-05,5592.59,1228,6,1228,5494.0
2019-02-06,4453.15,879,6,879,4141.0
2019-02-07,3462.46,785,3,785,4670.0
2019-02-08,5587.94,957,5,957,5085.0
2019-02-10,1859.36,624,1,624,2154.0
2019-02-11,4374.69,1108,6,1108,6222.0
2019-02-12,7385.13,1335,5,1335,7574.0
2019-02-13,3905.52,1191,6,1191,8118.0
2019-02-14,7810.66,1719,6,1719,8501.0
2019-02-15,3084.85,854,7,854,5240.0
2019-02-17,2721.29,864,1,864,3472.0
2019-02-18,17596.670000000002,1425,8,1425,8133.0
2019-02-19,5573.04,1593,3,1593,8615.0
2019-02-20,7190.04,1578,4,1578,8022.0
2019-02-21,5068.53,1294,5,1294,8106.0
2019-02-22,3507.94,978,5,978,7219.0
2019-02-24,2449.63,812,3,812,3619.0
2019-02-25,7995.4,1737,6,1737,7310.0
2019-02-26,7259.88,1361,7,1361,8008.0
2019-02-27,3467.06,935,3,935,6053.0
2019-02-28,5659.09,1389,8,1389,7583.0
2019-03-01,3255.5,1107,7,1107,6483.0
2019-03-03,2845.04,844,1,844,3385.0
2019-03-04,10757.98,1971,5,1971,7875.0
2019-03-05,5333.13,1600,4,1600,8907.0
2019-03-06,4801.92,1277,5,1277,7158.0
2019-03-07,3723.9,1131,6,1131,7185.0
2019-03-08,10475.69,959,4,959,5861.0
2019-03-10,1374.63,537,2,537,2014.0
2019-03-11,3851.69,1111,9,1111,6147.0
2019-03-12,11141.28,1292,5,1292,6931.0
2019-03-13,3178.31,874,4,874,5766.0
2019-03-14,8655.67,2074,6,2074,9453.0
2019-03-15,17046.97,1379,3,1379,7240.0
2019-03-17,5053.79,1453,6,1453,7791.0
2019-03-18,2938.76,1068,5,1068,6735.0
2019-03-19,10389.57,2384,6,2384,9848.0
2019-03-20,4778.0199999999995,1319,5,1319,7486.0
2019-03-21,4687.93,1577,8,1577,9152.0
2019-03-22,5604.1,1386,7,1386,6963.0
2019-03-24,2176.4,737,4,737,3193.0
2019-03-25,9699.41,1672,7,1672,8599.0
2019-03-26,9098.14,1983,3,1983,11440.0
2019-03-27,5140.84,1590,5,1590,9468.0
2019-03-28,9091.81,1738,5,1738,8885.0
2019-03-29,4684.35,1261,7,1261,7496.0
2019-03-31,1788.16,731,1,731,2723.0
2019-04-01,18797.46,1705,7,1705,8172.0
2019-04-02,6221.75,1215,8,1215,7075.0
2019-04-03,3770.26,1122,3,1122,5857.0
2019-04-04,4707.59,1527,8,1527,7110.0
2019-04-05,9002.98,1441,6,1441,8736.0
2019-04-07,3110.41,940,2,940,3996.0
2019-04-08,3611.43,1259,8,1259,8765.0
2019-04-09,3700.69,1152,3,1152,8366.0
2019-04-10,3022.28,1052,4,1052,7484.0
2019-04-11,5481.55,1608,4,1608,10996.0
2019-04-12,8714.421,1483,6,1483,6927.0
2019-04-14,2774.57,968,3,968,5480.0
2019-04-15,12345.27,3208,5,3208,10647.0
2019-04-16,7149.88,1887,5,1887,9133.0
2019-04-17,3238.39,1025,4,1025,7680.0
2019-04-18,9542.42,1930,6,1930,9690.0
2019-04-23,8523.9,1903,6,1903,9275.0
2019-04-24,4271.07,1307,5,1307,7837.0
2019-04-25,4706.13,1192,7,1192,7883.0
2019-04-28,1298.41,452,2,452,2571.0
2019-04-30,28575.59,1449,6,1449,7474.0
2019-05-01,3593.41,1161,5,1161,7857.0
2019-05-02,6246.54,1838,7,1838,10040.0
2019-05-03,7276.01,2051,6,2051,10686.0
2019-05-05,4316.8,1506,3,1506,7610.0
2019-05-06,8745.48,1766,5,1766,9413.0
2019-05-07,15484.55,2586,6,2586,11692.0
2019-05-08,5969.6,1701,6,1701,10268.0
2019-05-09,8547.73,1965,8,1965,12556.0
2019-05-10,4957.36,1425,5,1425,8670.0
2019-05-12,2277.36,809,3,809,3552.0
2019-05-13,20897.62,1609,3,1609,9484.0
2019-05-14,10116.7,1932,7,1932,11045.0
2019-05-15,5320.06,1366,5,1366,8818.0
2019-05-16,7760.89,1949,7,1949,11856.0
2019-05-17,3970.24,1129,6,1129,8116.0
2019-05-19,4596.72,1564,3,1564,9437.0
2019-05-20,12608.92,1646,8,1646,8592.0
2019-05-21,7291.14,1750,5,1750,8549.0
2019-05-22,4553.69,1322,5,1322,7278.0
2019-05-23,4279.93,971,6,971,6209.0
2019-05-24,5204.24,1170,4,1170,6670.0
2019-05-26,1716.09,632,2,632,2633.0
2019-05-28,5080.38,1281,8,1281,6671.0
2019-05-29,5831.2,1456,6,1456,5626.0
2019-05-30,7065.06,1588,4,1588,7871.0
2019-05-31,3258.41,858,6,858,4782.0
2019-06-02,4963.0,1561,5,1561,9016.0
2019-06-03,4730.5,1229,7,1229,7083.0
2019-06-04,6788.25,1926,6,1926,9921.0
2019-06-05,10794.62,2327,7,2327,12288.0
2019-06-06,7678.74,1850,11,1850,11143.0
2019-06-07,44471.119999999995,1067,5,1067,5859.0
2019-06-09,3058.84,1075,3,1075,4786.0
2019-06-10,6006.17,1472,5,1472,8056.0
2019-06-11,6435.36,1587,2,1587,7104.0
2019-06-12,7495.18,1718,5,1718,8970.0
2019-06-13,5497.96,1534,7,1534,9710.0
2019-06-14,3116.09,961,5,961,6652.0
2019-06-16,3447.66,1167,5,1167,6987.0
2019-06-17,15143.19,2020,9,2020,9455.0
2019-06-18,6712.1900000000005,1538,6,1538,7367.0
2019-06-19,3593.78,1017,8,1017,7141.0
2019-06-20,6436.83,1973,7,1973,10522.0
2019-06-21,15250.81,1039,6,1039,6405.0
2019-06-23,2594.11,708,4,708,2750.0
2019-06-24,4679.18,1182,3,1182,5152.0
2019-06-25,5266.54,1043,3,1043,6805.0
2019-06-26,4903.17,1358,4,1358,6420.0
2019-06-27,5499.38,1620,6,1620,9435.0
2019-06-28,3570.6,1027,5,1027,5539.0
2019-06-30,1793.98,602,1,602,2534.0
2019-07-01,9378.84,2200,5,2200,9287.0
2019-07-02,9444.64,2202,4,2202,10175.0
2019-07-03,5157.59,1816,5,1816,9264.0
2019-07-04,6634.44,1940,4,1940,10598.0
2019-07-05,7447.0,1630,6,1630,8121.0
2019-07-07,1976.14,820,1,820,2840.0
2019-07-08,4452.78,1515,5,1515,8235.0
2019-07-09,6601.0199999999995,1667,4,1667,7316.0
2019-07-10,15986.32,1618,7,1618,8305.0
2019-07-11,5626.65,1734,7,1734,9858.0
2019-07-12,4796.17,1136,5,1136,4900.0
2019-07-14,3337.94,1248,4,1248,6293.0
2019-07-15,27456.49,2234,4,2234,10147.0
2019-07-16,5378.42,1667,6,1667,11884.0
2019-07-17,10977.66,2015,5,2015,9630.0
2019-07-18,6732.06,1570,5,1570,10808.0
2019-07-19,4170.48,1301,3,1301,6900.0
2019-07-21,3185.75,1125,5,1125,7177.0
2019-07-22,7902.72,1946,6,1946,9334.0
2019-07-23,4167.231,1279,6,1279,7614.0
2019-07-24,3926.12,1259,6,1259,7458.0
2019-07-25,5023.55,1565,8,1565,10407.0
2019-07-26,3631.94,1131,4,1131,7552.0
2019-07-28,3150.26,1271,4,1271,7004.0
2019-07-29,4374.54,1200,3,1200,7025.0
2019-07-30,16374.76,1369,6,1369,8492.0
2019-07-31,4964.93,1560,6,1560,9473.0
