date,total_views,total_revenue,transaction_count
2018-05-20,7747.0,4696.01,1346
2018-05-21,9976.0,5610.63,1432
2018-05-22,8140.0,5393.47,1483
2018-05-23,9829.0,13550.43,1841
2018-05-24,11162.0,6308.41,2038
2018-05-25,6863.0,5601.79,1286
2018-05-27,3529.0,2380.03,804
2018-05-29,5734.0,4233.57,1224
2018-05-30,4350.0,3650.34,964
2018-05-31,8795.0,7617.39,1725
2018-06-01,5299.0,7494.15,1467
2018-06-03,10307.0,7034.34,2220
2018-06-04,12465.0,9485.92,2641
2018-06-05,9371.0,12855.3,2096
2018-06-06,9076.0,4691.28,1477
2018-06-07,6340.0,4461.06,1069
2018-06-08,10116.0,15010.59,1786
2018-06-10,7312.0,4799.02,1474
2018-06-11,8118.0,5801.65,1657
2018-06-12,9026.0,7537.26,1568
2018-06-13,10400.0,6217.81,1843
2018-06-14,9449.0,73706.43000000001,1797
2018-06-15,5485.0,4063.11,975
2018-06-17,2137.0,1583.92,440
2018-06-18,8436.0,5783.59,1783
2018-06-19,5133.0,4287.58,1007
2018-06-20,7184.0,4546.45,1221
2018-06-21,7885.0,9860.83,1607
2018-06-22,5990.0,5624.18,1219
2018-06-24,5699.0,4149.53,1283
2018-06-25,11110.0,6630.23,1870
2018-06-26,10113.0,6192.41,1628
2018-06-27,10794.0,7551.75,1942
2018-06-28,11487.0,6380.66,1858
2018-06-29,6394.0,3350.39,1059
2018-07-01,2640.0,2285.55,680
2018-07-02,11345.0,6534.12,1953
2018-07-03,5991.0,4606.76,1108
2018-07-04,8759.0,10098.82,1748
2018-07-05,7984.0,6413.42,1348
2018-07-06,4609.0,3934.59,916
2018-07-08,2533.0,2040.46,708
2018-07-09,5847.0,5502.5,1216
2018-07-10,5500.0,4796.42,1155
2018-07-11,7463.0,6732.91,1442
2018-07-12,9546.0,10515.91,1596
2018-07-13,7619.0,4453.45,1226
2018-07-15,4949.0,3065.76,909
2018-07-16,8907.0,-38702.94,1448
2018-07-17,7135.0,4311.51,1183
2018-07-18,7305.0,5829.62,1282
2018-07-19,7616.0,7401.69,1618
2018-07-20,6382.0,3531.5099999999998,1056
2018-07-22,7220.0,4091.48,1277
2018-07-23,8852.0,7229.92,1539
2018-07-24,6574.0,3685.8,1046
2018-07-25,8546.0,4231.18,1344
2018-07-26,8700.0,15094.71,1905
2018-07-27,4630.0,3234.7,763
2018-07-29,4113.0,2734.49,886
2018-07-30,7096.0,6506.47,1203
2018-07-31,7350.0,8217.92,1542
2018-08-01,7879.0,6210.34,1405
2018-08-02,7982.0,3759.74,1366
2018-08-03,4434.0,1965.35,581
2018-08-05,4662.0,2565.32,910
2018-08-06,6518.0,2723.68,931
2018-08-07,7400.0,7888.82,1779
2018-08-08,4873.0,9440.53,1030
2018-08-09,9887.0,8283.8,1861
2018-08-10,8274.0,6050.4,1526
2018-08-12,6540.0,3345.88,1088
2018-08-13,6215.0,4089.5499999999997,1048
2018-08-14,6945.0,3225.51,983
2018-08-15,8994.0,5349.29,1629
2018-08-16,8869.0,5694.87,1536
2018-08-17,7976.0,4733.06,1297
2018-08-19,8686.0,4035.42,1382
2018-08-20,7937.0,3577.17,1187
2018-08-21,7957.0,3730.96,1166
2018-08-22,10045.0,6431.42,1652
2018-08-23,9897.0,7405.08,1682
2018-08-24,5193.0,26783.25,1041
2018-08-26,5043.0,2302.29,812
2018-08-28,8786.0,10727.48,1783
2018-08-29,5334.0,4254.25,1056
2018-08-30,10002.0,7891.42,1647
2018-08-31,5984.0,4140.12,1070
2018-09-02,4626.0,2299.51,814
2018-09-03,7881.0,6506.75,1591
2018-09-04,6775.0,3955.71,1145
2018-09-05,6656.0,3894.24,1102
2018-09-06,9634.0,7377.54,1656
2018-09-07,5925.0,3854.04,1028
2018-09-09,6447.0,3877.1,1326
2018-09-10,9731.0,7963.96,2001
2018-09-11,7604.0,4187.84,1294
2018-09-12,9434.0,4376.07,1420
2018-09-13,9837.0,31232.641,1695
2018-09-14,6867.0,4675.4,1162
2018-09-16,9155.0,5047.82,1980
2018-09-17,10816.0,9563.25,1841
2018-09-18,16965.0,7600.64,2476
2018-09-19,8993.0,5626.12,1492
2018-09-20,13417.0,5875.57,2010
2018-09-21,9850.0,9696.49,1574
2018-09-23,8448.0,4287.5,1475
2018-09-24,15362.0,39705.11,2317
2018-09-25,16527.0,10607.97,2854
2018-09-26,12898.0,7832.08,1915
2018-09-27,14843.0,17434.079999999998,2150
2018-09-28,9797.0,7647.0,1764
2018-09-30,13041.0,7376.55,2297
2018-10-01,13659.0,7418.0,2118
2018-10-02,18305.0,67819.4,2772
2018-10-03,9973.0,4364.98,1302
2018-10-04,18568.0,14566.07,3655
2018-10-05,11986.0,7518.51,2034
2018-10-07,8924.0,5314.59,1724
2018-10-08,14388.0,7716.0,2511
2018-10-09,15164.0,8394.68,2483
2018-10-10,13373.0,15595.72,2201
2018-10-11,14524.0,7222.56,2078
2018-10-12,13350.0,28981.03,2316
2018-10-14,12913.0,7633.47,2745
2018-10-15,12793.0,11625.59,2850
2018-10-16,12309.0,8918.39,2298
2018-10-17,13319.0,-29374.970000000005,2491
2018-10-18,12243.0,8692.37,2183
2018-10-19,11033.0,11389.84,2266
2018-10-21,11303.0,7007.84,2393
2018-10-22,9980.0,6069.95,1940
2018-10-23,14995.0,8178.97,2548
2018-10-24,10362.0,6331.07,1838
2018-10-25,8347.0,15121.56,1650
2018-10-26,11875.0,6943.36,1951
2018-10-28,12139.0,7500.81,2690
2018-10-29,9740.0,12516.25,2238
2018-10-30,12978.0,8465.98,2368
2018-10-31,11284.0,7428.76,2109
2018-11-01,19350.0,13655.83,3748
2018-11-02,11359.0,7725.26,2010
2018-11-04,13921.0,7681.84,2825
2018-11-05,13649.0,23464.651,2638
2018-11-06,16667.0,12092.14,2917
2018-11-07,17104.0,12876.59,3640
2018-11-08,16838.0,12538.21,3303
2018-11-09,13766.0,12653.73,3065
2018-11-11,11271.0,8442.9,2913
2018-11-12,16584.0,14324.61,3772
2018-11-13,19160.0,12268.28,3361
2018-11-14,14787.0,10901.541,2864
2018-11-15,14069.0,10845.24,2909
2018-11-16,13578.0,9973.5,2599
2018-11-18,14244.0,8909.71,3258
2018-11-19,13769.0,12726.67,3273
2018-11-20,18304.0,13975.7,3651
2018-11-21,15154.0,14168.15,3446
2018-11-22,18905.0,11789.71,3522
2018-11-23,13210.0,10312.59,2610
2018-11-25,10132.0,7830.08,2609
2018-11-26,18232.0,16431.74,3951
2018-11-27,15141.0,7914.2,2416
2018-11-28,27791.0,25808.5,6216
2018-11-29,26320.0,13631.36,4218
2018-11-30,19040.0,22228.18,4404
2018-12-02,22365.0,15786.34,5450
2018-12-03,29374.0,35357.56,7756
2018-12-04,23401.0,170304.18,5926
2018-12-05,27627.0,19956.12,5294
2018-12-06,25150.0,29325.26,5782
2018-12-07,11716.0,12825.06,2758
2018-12-09,5595.0,3966.23,1451
2018-12-10,10737.0,12388.27,2283
2018-12-11,11359.0,8257.36,2087
2018-12-12,8513.0,4819.31,1349
2018-12-13,12556.0,5954.72,1790
2018-12-14,10249.0,18131.21,3115
2018-12-16,2542.0,1640.19,522
2018-12-17,7275.0,8081.79,1763
2018-12-18,5292.0,12393.34,1586
2018-12-19,1835.0,1962.44,291
2018-12-20,4193.0,3902.18,963
2019-01-01,5614.0,4326.0199999999995,1184
2019-01-02,8458.0,39220.59,1743
2019-01-03,10229.0,7950.66,1832
2019-01-04,10141.0,5871.85,1794
2019-01-06,5896.0,3544.55,1117
2019-01-07,9057.0,7827.63,1976
2019-01-08,7923.0,5225.15,1454
2019-01-09,7752.0,7600.88,1809
2019-01-10,6858.0,5666.0199999999995,1445
2019-01-11,8199.0,6553.24,1510
2019-01-13,2583.0,1854.5,646
2019-01-14,10421.0,9782.3,2557
2019-01-15,5174.0,6445.36,1447
2019-01-16,7423.0,4739.15,1416
2019-01-17,6837.0,8156.26,1502
2019-01-18,7695.0,6757.13,1594
2019-01-20,3605.0,2611.96,879
2019-01-21,7441.0,6682.3099999999995,1485
2019-01-22,9179.0,6644.02,1654
2019-01-23,6800.0,5233.19,1289
2019-01-24,8887.0,7552.5,1575
2019-01-25,5707.0,3995.68,1008
2019-01-27,2934.0,2321.72,722
2019-01-28,7333.0,6190.13,1509
2019-01-29,8362.0,5561.46,1574
2019-01-30,6722.0,5978.85,1411
2019-01-31,5602.0,3817.55,989
2019-02-01,6123.0,6316.53,1232
2019-02-03,1209.0,799.45,279
2019-02-04,5785.0,5356.04,1261
2019-02-05,5494.0,5592.59,1228
2019-02-06,4141.0,4453.15,879
2019-02-07,4670.0,3462.46,785
2019-02-08,5085.0,5587.94,957
2019-02-10,2154.0,1859.36,624
2019-02-11,6222.0,4374.69,1108
2019-02-12,7574.0,7385.13,1335
2019-02-13,8118.0,3905.52,1191
2019-02-14,8501.0,7810.66,1719
2019-02-15,5240.0,3084.85,854
2019-02-17,3472.0,2721.29,864
2019-02-18,8133.0,17596.670000000002,1425
2019-02-19,8615.0,5573.04,1593
2019-02-20,8022.0,7190.04,1578
2019-02-21,8106.0,5068.53,1294
2019-02-22,7219.0,3507.94,978
2019-02-24,3619.0,2449.63,812
2019-02-25,7310.0,7995.4,1737
2019-02-26,8008.0,7259.88,1361
2019-02-27,6053.0,3467.06,935
2019-02-28,7583.0,5659.09,1389
2019-03-01,6483.0,3255.5,1107
2019-03-03,3385.0,2845.04,844
2019-03-04,7875.0,10757.98,1971
2019-03-05,8907.0,5333.13,1600
2019-03-06,7158.0,4801.92,1277
2019-03-07,7185.0,3723.9,1131
2019-03-08,5861.0,10475.69,959
2019-03-10,2014.0,1374.63,537
2019-03-11,6147.0,3851.69,1111
2019-03-12,6931.0,11141.28,1292
2019-03-13,5766.0,3178.31,874
2019-03-14,9453.0,8655.67,2074
2019-03-15,7240.0,17046.97,1379
2019-03-17,7791.0,5053.79,1453
2019-03-18,6735.0,2938.76,1068
2019-03-19,9848.0,10389.57,2384
2019-03-20,7486.0,4778.0199999999995,1319
2019-03-21,9152.0,4687.93,1577
2019-03-22,6963.0,5604.1,1386
2019-03-24,3193.0,2176.4,737
2019-03-25,8599.0,9699.41,1672
2019-03-26,11440.0,9098.14,1983
2019-03-27,9468.0,5140.84,1590
2019-03-28,8885.0,9091.81,1738
2019-03-29,7496.0,4684.35,1261
2019-03-31,2723.0,1788.16,731
2019-04-01,8172.0,18797.46,1705
2019-04-02,7075.0,6221.75,1215
2019-04-03,5857.0,3770.26,1122
2019-04-04,7110.0,4707.59,1527
2019-04-05,8736.0,9002.98,1441
2019-04-07,3996.0,3110.41,940
2019-04-08,8765.0,3611.43,1259
2019-04-09,8366.0,3700.69,1152
2019-04-10,7484.0,3022.28,1052
2019-04-11,10996.0,5481.55,1608
2019-04-12,6927.0,8714.421,1483
2019-04-14,5480.0,2774.57,968
2019-04-15,10647.0,12345.27,3208
2019-04-16,9133.0,7149.88,1887
2019-04-17,7680.0,3238.39,1025
2019-04-18,9690.0,9542.42,1930
2019-04-23,9275.0,8523.9,1903
2019-04-24,7837.0,4271.07,1307
2019-04-25,7883.0,4706.13,1192
2019-04-28,2571.0,1298.41,452
2019-04-30,7474.0,28575.59,1449
2019-05-01,7857.0,3593.41,1161
2019-05-02,10040.0,6246.54,1838
2019-05-03,10686.0,7276.01,2051
2019-05-05,7610.0,4316.8,1506
2019-05-06,9413.0,8745.48,1766
2019-05-07,11692.0,15484.55,2586
2019-05-08,10268.0,5969.6,1701
2019-05-09,12556.0,8547.73,1965
2019-05-10,8670.0,4957.36,1425
2019-05-12,3552.0,2277.36,809
2019-05-13,9484.0,20897.62,1609
2019-05-14,11045.0,10116.7,1932
2019-05-15,8818.0,5320.06,1366
2019-05-16,11856.0,7760.89,1949
2019-05-17,8116.0,3970.24,1129
2019-05-19,9437.0,4596.72,1564
2019-05-20,8592.0,12608.92,1646
2019-05-21,8549.0,7291.14,1750
2019-05-22,7278.0,4553.69,1322
2019-05-23,6209.0,4279.93,971
2019-05-24,6670.0,5204.24,1170
2019-05-26,2633.0,1716.09,632
2019-05-28,6671.0,5080.38,1281
2019-05-29,5626.0,5831.2,1456
2019-05-30,7871.0,7065.06,1588
2019-05-31,4782.0,3258.41,858
2019-06-02,9016.0,4963.0,1561
2019-06-03,7083.0,4730.5,1229
2019-06-04,9921.0,6788.25,1926
2019-06-05,12288.0,10794.62,2327
2019-06-06,11143.0,7678.74,1850
2019-06-07,5859.0,44471.119999999995,1067
2019-06-09,4786.0,3058.84,1075
2019-06-10,8056.0,6006.17,1472
2019-06-11,7104.0,6435.36,1587
2019-06-12,8970.0,7495.18,1718
2019-06-13,9710.0,5497.96,1534
2019-06-14,6652.0,3116.09,961
2019-06-16,6987.0,3447.66,1167
2019-06-17,9455.0,15143.19,2020
2019-06-18,7367.0,6712.1900000000005,1538
2019-06-19,7141.0,3593.78,1017
2019-06-20,10522.0,6436.83,1973
2019-06-21,6405.0,15250.81,1039
2019-06-23,2750.0,2594.11,708
2019-06-24,5152.0,4679.18,1182
2019-06-25,6805.0,5266.54,1043
2019-06-26,6420.0,4903.17,1358
2019-06-27,9435.0,5499.38,1620
2019-06-28,5539.0,3570.6,1027
2019-06-30,2534.0,1793.98,602
2019-07-01,9287.0,9378.84,2200
2019-07-02,10175.0,9444.64,2202
2019-07-03,9264.0,5157.59,1816
2019-07-04,10598.0,6634.44,1940
2019-07-05,8121.0,7447.0,1630
2019-07-07,2840.0,1976.14,820
2019-07-08,8235.0,4452.78,1515
2019-07-09,7316.0,6601.0199999999995,1667
2019-07-10,8305.0,15986.32,1618
2019-07-11,9858.0,5626.65,1734
2019-07-12,4900.0,4796.17,1136
2019-07-14,6293.0,3337.94,1248
2019-07-15,10147.0,27456.49,2234
2019-07-16,11884.0,5378.42,1667
2019-07-17,9630.0,10977.66,2015
2019-07-18,10808.0,6732.06,1570
2019-07-19,6900.0,4170.48,1301
2019-07-21,7177.0,3185.75,1125
2019-07-22,9334.0,7902.72,1946
2019-07-23,7614.0,4167.231,1279
2019-07-24,7458.0,3926.12,1259
2019-07-25,10407.0,5023.55,1565
2019-07-26,7552.0,3631.94,1131
2019-07-28,7004.0,3150.26,1271
2019-07-29,7025.0,4374.54,1200
2019-07-30,8492.0,16374.76,1369
2019-07-31,9473.0,4964.93,1560
